Entity,2000,2005,2010,2015,2018
Afghanistan,0.21,0.21,0.21,0.21,0.21
Africa Eastern and Southern,5.014051016,4.85658758,5.417114845,5.200565328,5.17091073
Africa Western and Central,8.092473514,7.813972144,7.494864053,6.869467733,6.835266062
Albania,6.57,7.65,7.69,6.74,7.17
Algeria,0.58,0.81,0.65,0.93,0.95
Andorra,13.28,12.55,11.11,11.01,11.02
Angola,2.76,4.89,8.16,7.96,6.94
Antigua and Barbuda,5.13,5.37,5.6,5.89,6.38
Arab World,0.672858249,0.648096046,0.64622786,0.627499783,0.618598082
Argentina,8.75,8.66,9.09,9.55,9.65
Armenia,4.23,5.79,5.69,5.84,5.55
Australia,11.72,12.08,12.39,10.83,10.51
Austria,13.12,12.79,12.2,12.07,11.96
Azerbaijan,3.45,1.81,2.97,4.58,4.41
Bahamas,5.58,4.28,4.12,4.55,4.78
Bahrain,1.74,1.76,1.69,1.3,1.09
Bangladesh,0.23,0.16,0.16,0.021,0.019
Barbados,7.11,7.4,7.95,9.33,9.69
Belarus,15.17,15.3,17.43,12,11.45
Belgium,12.49,13.13,11.4,11.82,11.08
Belize,5.55,7.16,7.08,6.74,6.22
Benin,2.46,2.23,2.47,2.97,2.81
Bhutan,2.77,1.6,0.92,0.42,0.43
Bolivia,3.44,4.37,5.56,4.64,4.43
Bosnia and Herzegovina,6.37,7.2,7.32,6.92,7.15
Botswana,9.05,9.61,8.62,6.86,6.59
Brazil,8.78,8.32,8.49,7.86,7.42
Brunei,0.23,0.21,0.51,0.46,0.48
Bulgaria,11.8,11.42,11.32,12.34,12.65
Burkina Faso,8.4,9.19,8.58,11.83,12.03
Burundi,9.82,8.44,7.66,7.03,7.19
Cambodia,1.87,2.69,4.91,6.37,6.64
Cameroon,6.69,7.62,8.43,6.17,5.65
Canada,9.3,9.3,10.1,8.88,8.94
Cape Verde,6.03,6.95,7.51,5.95,5.6
Caribbean Small States,5.862240321,5.754349896,5.660811971,5.857448023,5.794512657
Central African Republic,3.68,3.62,3.98,2.43,2.38
Central Europe and the Baltics,12.62650036,12.8572741,12.26601222,11.99292926,11.93207958
Chad,4.34,4.62,6.58,1.45,1.37
Chile,7.74,8.93,9.31,9.26,9.07
China,3.81,4.02,7.07,7.15,7.05
Colombia,5.58,5.41,5.04,5.78,5.74
Comoros,0.19,0.44,0.25,0.88,0.69
Congo,3.45,3.75,6.17,7.9,9.27
Costa Rica,5.55,5.42,4.8,4.76,4.87
Cote d'Ivoire,7.25,3.3,2.53,2.61,2.71
Croatia,12.45,10.31,10.08,9.07,9.23
Cuba,4.98,5.36,5.02,5.67,5.83
Cyprus,10.86,12.43,11.35,10.76,10.81
Czechia,15,14.76,14.06,14.25,14.45
Democratic Republic of Congo,0.95,0.86,1.75,2.05,2
Denmark,12.67,12.29,11,10.36,10.26
Djibouti,1.62,1.28,0.67,0.49,0.43
Dominica,8.38,8.72,9.65,11.32,11.18
Dominican Republic,7.19,6.15,6.11,6.61,6.68
Early-demographic dividend,2.511086062,2.520305387,3.453335078,3.909810868,3.892436163
East Asia & Pacific,4.092755052,4.185950303,6.262726494,6.472068348,6.430730189
East Asia & Pacific (IDA & IBRD),3.427089536,3.627568952,6.053491616,6.262173644,6.224374693
East Asia & Pacific (excluding high income),3.428277993,3.628218329,6.025462964,6.232022312,6.194505725
Ecuador,5.96,5.81,6.16,4.98,4.2
Egypt,0.25,0.29,0.36,0.4,0.36
El Salvador,3.86,3.8,3.31,3.59,3.89
Equatorial Guinea,7.45,8.91,9.2,9.08,7.23
Eritrea,1.57,2.08,1.38,1.42,1.44
Estonia,9.57,15.65,12.39,12.39,9.23
Eswatini,7.46,6.71,6.82,9.84,10.04
Ethiopia,1.76,2.05,2.5,2.19,2.36
Euro area,12.71715516,12.26848103,10.9915886,11.32569234,11.40251253
Europe & Central Asia,12.07242738,12.06874892,11.03833059,10.08709485,9.764031941
Europe & Central Asia (IDA & IBRD),11.27565184,11.62128322,10.8740463,8.80951673,8.053197891
Europe & Central Asia (excluding high income),11.48155361,11.74377531,10.84908847,8.525547925,7.680729612
European Union,12.63936868,12.30279871,11.21063562,11.37709129,11.44471551
Fiji,3.24,2.78,3,3.33,3.32
Finland,11.69,13.11,12.59,11.18,10.78
Fragile and conflict affected situations,4.827625153,4.955418452,4.866813971,4.410277902,4.358818954
France,14.08,13.09,12.4,12.64,12.33
Gabon,10.59,9.36,9.89,9.57,8.74
Gambia,4.14,4.27,3.81,3.67,3.55
Georgia,4.41,6.39,9.67,9.61,8.25
Germany,14.16,13.28,12.64,13.06,12.91
Ghana,5.3,3.77,4.26,3.12,2.75
Greece,10.18,10.73,9.67,10.49,10.18
Grenada,9.8,8.76,8.31,9.07,9.48
Guatemala,4.4,4.29,3.51,2.55,2.45
Guinea,0.67,0.77,0.7,1.07,1.11
Guinea-Bissau,4.15,5.31,4.47,5.05,5.38
Guyana,8.98,7.98,6.78,7.35,6.89
Haiti,3.97,3.86,2.99,2.69,2.73
Heavily indebted poor countries (HIPC),4.240083002,4.033974174,4.175624332,4.027647625,4.065759856
High income,10.56022272,10.38993765,9.635647503,9.764919204,9.779655995
Honduras,3.5,3.88,3.59,3.49,3.76
Hungary,14.27,14.56,12.09,11.6,11.35
IBRD only,4.464245948,4.534005081,6.050196574,6.13515037,5.97662907
IDA & IBRD total,4.328660612,4.368492801,5.594748065,5.614515863,5.487421484
IDA blend,5.400008832,5.244982365,4.980483236,4.589950376,4.626759114
IDA only,2.747601956,2.718707919,2.966328093,3.101211322,3.201362804
IDA total,3.681898475,3.610977816,3.667153014,3.606751786,3.683914896
Iceland,7.03,7.74,7.5,8.74,9.12
India,2.28,2.33,4.35,5.54,5.54
Indonesia,0.5,0.48,0.59,0.6,0.57
Iran,0.21,0.58,1.01,1.01,1.03
Iraq,0.45,0.44,0.49,0.37,0.39
Ireland,15.13,14.2,12.07,12.47,12.88
Israel,3.08,2.7,3.12,3.86,4.21
Italy,10.37,9.41,7.34,7.59,7.84
Jamaica,4.91,4.43,4.38,4.19,4.22
Japan,8.23,7.99,7.2,7.87,7.96
Jordan,0.62,0.66,0.64,0.69,0.69
Kazakhstan,8.18,9.33,4.97,4.66,4.76
Kenya,3.83,3.01,3.29,2.77,2.78
Kiribati,1.96,2.16,1.65,0.52,0.46
Kuwait,0.038,0.019,0.032,0.003,0.003
Kyrgyzstan,9.45,11.19,10.08,7.59,6.26
Laos,4.66,4.37,7.1,10.05,10.72
Late-demographic dividend,5.563254588,5.761431621,7.605143665,7.435194031,7.24966961
Latin America & Caribbean,7.301120893,7.197229026,6.999579616,6.618937404,6.331605519
Latin America & Caribbean (IDA & IBRD),7.361728098,7.243280962,7.045074772,6.638763762,6.341037019
Latin America & Caribbean (excluding high income),7.194611192,7.026421519,6.836732711,6.515641515,6.33674686
Latvia,8.76,11.96,11.63,12.64,12.77
Least developed countries: UN classification,2.486311181,2.658113881,3.052661746,3.24596377,3.33836611
Lebanon,2.96,2.31,1.94,1.65,1.71
Lesotho,7.31,5.37,6.5,4.8,4.59
Liberia,6.38,6.05,5.37,5.7,6.12
Libya,0.064,0.083,0.098,0.029,0.019
Lithuania,13.36,16.1,15.25,15.38,13.22
Low & middle income,4.2352743,4.265939237,5.507627831,5.540281941,5.4271187
Low income,3.2751984,3.209378945,3.243442837,3.124896116,3.195235954
Lower middle income,2.768264284,2.777312365,3.889999209,4.429854213,4.43451737
Luxembourg,14.32,13.58,12.98,13.18,12.94
Madagascar,2.11,1.53,1.87,1.88,1.97
Malawi,2.42,2.87,3.21,3.62,3.63
Malaysia,1.53,1.28,1.32,0.85,0.85
Maldives,2.04,1.52,1.65,2.07,2.22
Mali,1.15,1.05,1.09,1.25,1.28
Malta,5.72,6.65,6.58,7.56,7.99
Mauritania,0.2,0.13,0.086,0.033,0.036
Mauritius,5.49,5,3.81,3.94,4.35
Mexico,6.43,6.48,5.21,4.92,5
Micronesia (country),3.86,2.78,2.85,2.44,2.48
